지하철역명,경도,위도
망우,127.0923815,37.59929487
월곡(동덕여대),127.0415838,37.6022052
성신여대입구(돈암),127.0163145,37.59241472
고려대(종암),127.0359963,37.5899037
정릉,127.0132275,37.60288279
성신여대입구(돈암),127.0167861,37.59254918
정릉,127.0135957,37.60282553
상월곡(한국과학기술연구원),127.0478101,37.60587162
북한산보국문,127.0080724,37.61216268
한성대입구(삼선교),127.0056828,37.58857279
길음,127.0253692,37.60370238
석계,127.0668907,37.61477972
한성대입구(삼선교),127.0060597,37.58818994
안암(고대병원앞),127.0287093,37.58645191
북한산보국문,127.0082795,37.61230913
돌곶이,127.057009,37.61103253
길음,127.024867,37.60333353
보문,127.0193123,37.58510931
삼양,127.0183716,37.62669792
4.19민주묘지,127.01387,37.64943019
화계,127.0176408,37.63401619
북한산우이,127.0126626,37.66265232
삼양사거리,127.0206351,37.62127755
삼양,127.0180944,37.62673338
가오리,127.0166439,37.64137101
솔샘,127.013719,37.62012482
미아사거리,127.0302967,37.61393549
미아(서울사이버대학),127.0259523,37.62731738
수유(강북구청),127.0261192,37.63823407
도봉산,127.0459901,37.68873719
쌍문,127.0349123,37.64860493
녹천,127.0508568,37.64569834
녹천,127.0510079,37.64573832
창동,127.0487073,37.65339581
석계,127.0654969,37.61501915
홍제,126.9439029,37.58920116
"신촌(경의중앙, 2호선)",126.9374445,37.55541145
독립문,126.9581587,37.57404244
홍제,126.9439362,37.58878307
가좌,126.9146271,37.56854705
염창,126.8744358,37.54678593
김포공항,126.8039032,37.56171397
우장산,126.8365222,37.54882404
발산,126.8378834,37.55822942
마곡나루,126.8271492,37.56665346
마곡나루,126.8272993,37.56530688
마곡나루,126.8271682,37.5669911
신방화,126.8163785,37.5674439
화곡,126.8405782,37.5419461
신방화,126.8168738,37.56771358
선유도,126.893768,37.53809525
영등포,126.9068772,37.51610842
선유도,126.8936247,37.53786169
당산,126.9018751,37.5335184
영등포,126.9067377,37.51607655
사당,126.9429578,37.51401694
방배,126.99724,37.48155477
남태령,126.988543,37.46466418
양재(서초구청),127.0338112,37.48426044
반포,127.0117648,37.50843115
내방,126.9935673,37.4873816
양재시민의숲(매헌),127.0393015,37.47010586
구반포,126.9868427,37.50156534
서초,127.0080863,37.49179115
양재(서초구청),127.0353923,37.48369017
강남,127.0273985,37.49746448
강남,127.0270961,37.49833935
양재(서초구청),127.0344523,37.48483005
강남,127.0286267,37.49659412
잠실(송파구청),127.1043372,37.51502579
장지,127.1263974,37.47885524
강동구청,127.1202352,37.53032246
종합운동장,127.073264,37.51138161
잠실새내,127.0861518,37.51139354
잠실새내,127.0862485,37.51187102
잠실나루,127.1035096,37.52086749
둔촌오륜,127.1378408,37.5193681
종합운동장,127.0773128,37.51111885
잠실(송파구청),127.1008851,37.5130587
송파,127.1127476,37.49950415
암사,127.127357,37.55012621
명일,127.1441631,37.55130403
강일,127.1752739,37.55719264
상일동,127.1679025,37.55684748
상일동,127.167859,37.55697284
중앙보훈병원,127.148665,37.52871806
굽은다리(강동구민회관앞),127.1428374,37.54580053
상일동,127.1652598,37.55672081
강일,127.1751879,37.55752808
둔촌오륜,127.1382038,37.51977513
고덕,127.1538328,37.55488135
길동,127.139783,37.53782062
천호(풍납토성),127.1244867,37.53811503
둔촌동,127.1359629,37.52792028
강동,127.1317901,37.53628248
강일,127.1762828,37.55740515
고덕,127.1538016,37.55508736
